"Student Counts by School and Gender"
"All Districts, All Schools"
"2015-16"

"",,,,"Gender",,
"New Canaan School District","=""0900011""","West School","=""0900311""",270,277,547
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*","*",8
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",246,255,501
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",228,262,490
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",408,496,904
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",290,297,587
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",154,142,296
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",55,58,113
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",34,27,61
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",221,216,437
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",254,270,524
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",222,260,482
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",285,278,563
"New Haven School District","=""0930011""","Beecher School","=""0930311""",243,262,505
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",248,282,530
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",299,157,456
"New Haven School District","=""0930011""","Bishop Woods Architecture and Design Magnet School","=""0934311""",259,222,481
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",7,9,16
"New Haven School District","=""0930011""","Brennan Rogers School","=""0932111""",226,266,492
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",183,185,368
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",263,314,577
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",226,235,461
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",329,308,637
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",455,192,647
"New Haven School District","=""0930011""","Cortlandt V.R. Creed Health and Sport Sciences High School","=""0936811""",63,131,194
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",262,235,497
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",6,23,29
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",66,57,123
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",248,228,476
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",187,417,604
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",388,377,765
"New Haven School District","=""0930011""","Headstart","=""0938011""",164,203,367
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""",112,154,266
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",148,103,251
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",235,260,495
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",375,290,665
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",437,508,945
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",248,280,528
"New Haven School District","=""0930011""","John S. Martinez Sea and Sky STEM School","=""0930811""",249,276,525
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",277,282,559
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",189,189,378
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",250,289,539
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",196,207,403
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""",8,32,40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",13,17,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""",18,24,42
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",149,106,255
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",27,53,80
"New Haven School District","=""0930011""","New Light High School","=""0932611""",12,25,37
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*",0,"*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",159,147,306
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",38,42,80
"New Haven School District","=""0930011""","Roberto Clemente Leadership Academy for Global Awareness","=""0934211""",250,270,520
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",362,307,669
"New Haven School District","=""0930011""","Sound School","=""0936711""",162,178,340
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",195,202,397
"New Haven School District","=""0930011""","Truman School","=""0932911""",229,264,493
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",113,128,241
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",199,226,425
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",729,717,1446
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",220,221,441
"New London School District","=""0950011""","Jennings School","=""0950311""",299,260,559
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",276,326,602
"New London School District","=""0950011""","Harbor","=""0950611""",62,53,115
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",278,225,503
"New London School District","=""0950011""","New London High School","=""0956111""",412,551,963
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",261,319,580
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",218,216,434
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""","*","*",17
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",657,688,1345
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",222,219,441
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",437,522,959
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",474,557,1031
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",242,231,473
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",150,144,294
"Newington School District","=""0940011""","John Paterson School","=""0940811""",198,186,384
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",310,364,674
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",302,318,620
"Newington School District","=""0940011""","Newington High School","=""0946111""",628,638,1266
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",176,155,331
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",161,159,320
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",143,154,297
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",179,189,368
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",798,881,1679
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",380,432,812
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",15,33,48
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",351,350,701
"Newtown School District","=""0970011""","STARR","=""0979011""","*","*","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",173,164,337
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",61,55,116
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",179,223,402
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",307,272,579
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",260,232,492
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",0,"*","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",182,223,405
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",129,131,260
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",132,170,302
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",196,181,377
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",147,141,288
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",490,510,1000
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",390,395,785
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""","*","*",9
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",205,194,399
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",181,185,366
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",83,106,189
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",79,94,173
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",858,805,1663
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",228,265,493
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",186,162,348
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",224,256,480
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",198,246,444
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",299,312,611
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",286,273,559
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",233,253,486
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",223,232,455
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",317,360,677
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",738,832,1570
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",22,31,53
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",309,357,666
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",236,240,476
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",228,215,443
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",239,259,498
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",179,203,382
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",330,340,670
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",145,187,332
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""","*","*",12
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""","*","*",12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*",11
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",1160,1087,2247
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*","*",11
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""","*","*",16
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",98,128,226
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",28,32,60
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""",0,"*","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",185,172,357
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",381,373,754
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",204,201,405
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",171,170,341
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",13,10,23
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",152,185,337
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",131,136,267
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",120,110,230
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",147,173,320
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",117,128,245
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",160,168,328
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",186,186,372
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",250,271,521
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",230,214,444
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",69,94,163
"Orange School District","=""1070011""","Peck Place School","=""1070511""",179,176,355
"Orange School District","=""1070011""","Race Brook School","=""1070311""",167,199,366
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",136,156,292
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*",12
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",253,238,491
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",235,237,472
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",289,303,592
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",192,200,392
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",182,178,360
"Path Academy District","=""2930013""","Path Academy","=""2930113""",67,76,143
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",9,9,18
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",164,148,312
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",261,271,532
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",343,352,695
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",156,170,326
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",208,220,428
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",145,164,309
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",207,216,423
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",182,187,369
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",257,288,545
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",360,384,744
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",166,171,337
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",177,200,377
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","*","*","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",147,166,313
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",219,257,476
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",182,218,400
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",117,102,219
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",102,104,206
"Portland School District","=""1130011""","Portland High School","=""1136111""",202,182,384
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",103,117,220
"Portland School District","=""1130011""","Valley View School","=""1130211""",140,183,323
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",83,69,152
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",143,143,286
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",0,"*","*"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*",9
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",300,317,617
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",150,126,276
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",136,136,272
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",225,248,473
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",226,254,480
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",224,206,430
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""","*","*","*"
"Regional School District 01","=""2010012""","SELC","=""2010312""",0,"*","*"
"Regional School District 01","=""2010012""","TOTAL","=""2010212""","*","*","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",157,158,315
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""","*","*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",310,290,600
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",183,200,383
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",193,182,375
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",730,756,1486
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""",34,30,64
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",81,68,149
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",57,59,116
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",305,271,576
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",38,40,78
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*",9
"Regional School District 07","=""2070012""","FLEX","=""2079012""",0,"*","*"
"Regional School District 07","=""2070012""","Links","=""2079212""","*","*",17
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",379,340,719
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",148,167,315
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*",21
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",487,536,1023
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",293,274,567
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",479,529,1008
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",380,406,786
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",200,199,399
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",204,238,442
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",360,418,778
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",119,126,245
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",38,39,77
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",219,220,439
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",25,28,53
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",80,79,159
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",276,280,556
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",74,69,143
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",133,185,318
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",94,102,196
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",143,95,238
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",133,133,266
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""",10,16,26
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",137,119,256
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""",22,26,48
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",170,195,365
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""",0,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",432,318,750
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""",0,"*","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",172,167,339
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",169,203,372
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",226,291,517
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""",8,7,15
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",206,240,446
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",171,158,329
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",556,629,1185
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",179,174,353
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",272,277,549
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",177,203,380
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",266,302,568
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",335,281,616
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","*","*",10
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",350,335,685
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",131,147,278
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",101,119,220
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",325,293,618
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",336,410,746
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""",113,143,256
"Regional School District 18","=""2180012""","Center School","=""2180312""",21,25,46
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",99,105,204
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",226,234,460
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",176,175,351
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",141,125,266
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",610,543,1153
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",18,10,28
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",12,13,25
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""",6,7,13
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",160,171,331
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",191,193,384
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""","*","*",9
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""","*","*","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",387,370,757
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",153,178,331
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",160,182,342
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""","*","*",7
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",845,848,1693
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",183,181,364
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",241,255,496
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",152,151,303
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",317,319,636
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""",0,"*","*"
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",266,255,521
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","*","*",7
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",343,362,705
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",364,367,731
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",178,198,376
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",144,130,274
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",70,49,119
"Seymour School District","=""1240011""","Bungay School","=""1240111""",218,230,448
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",260,270,530
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",322,342,664
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",293,269,562
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",79,81,160
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",136,151,287
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""","*","*",10
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",157,174,331
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",213,220,433
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",415,453,868
"Shelton School District","=""1260011""","Life Skills","=""1260311""","*","*","*"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",174,232,406
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",373,366,739
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""",21,38,59
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",752,761,1513
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",121,113,234
"Shelton School District","=""1260011""","Transition Program","=""1260711""",7,14,21
"Sherman School District","=""1270011""","Sherman School","=""1270111""",163,170,333
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",118,118,236
"Simsbury School District","=""1280011""","Central School","=""1280111""",179,213,392
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",339,371,710
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",195,176,371
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",671,752,1423
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",294,315,609
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",149,135,284
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",184,186,370
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*",7
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",175,184,359
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",279,306,585
"Somers School District","=""1290011""","Somers High School","=""1296111""",235,243,478
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""",184,172,356
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""",224,228,452
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""",197,194,391
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""",148,172,320
"South Windsor School District","=""1320011""","Project Worth Young Adult Academy","=""1329011""","*","*",11
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""",644,674,1318
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""",475,493,968
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""",147,165,312
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""",412,427,839
"Southington School District","=""1310011""","Achieve","=""1311711""","*","*","*"
"Southington School District","=""1310011""","Alta","=""1310111""",7,26,33
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""",291,309,600
"Southington School District","=""1310011""","EASE","=""1310511""","*","*",10
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""",142,158,300
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""",160,197,357
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""",383,360,743
"Southington School District","=""1310011""","Language Based Classroom at Hatton School","=""1310411""","*","*",11
"Southington School District","=""1310011""","Language Based Classroom, Multihandicapped","=""1311811""","*","*",11
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""",148,140,288
"Southington School District","=""1310011""","South End Elementary School","=""1310711""",120,112,232
"Southington School District","=""1310011""","Southington High School","=""1316211""",1006,961,1967
"Southington School District","=""1310011""","Southington Public Schools Preschool Program","=""1312111""",8,12,20
"Southington School District","=""1310011""","Southington Public Schools Preschool Program at Hatton School","=""1312011""",23,49,72
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""",146,149,295
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""",210,219,429
"Southington School District","=""1310011""","Therapeutic Educational Alternative Model (TEAM)","=""1311611""","*","*",7
"Southington School District","=""1310011""","Therapeutic Educational Setting (TEP)","=""1311211""","*","*",11
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""",151,168,319
"Sprague School District","=""1330011""","Sayles School","=""1330111""",157,203,360
"Stafford School District","=""1340011""","Stafford Elementary School","=""1340611""",230,241,471
"Stafford School District","=""1340011""","Stafford High School","=""1346111""",216,193,409
"Stafford School District","=""1340011""","Stafford Middle School","=""1345211""",148,183,331
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","*","*","*"
"Stafford School District","=""1340011""","Staffordville School","=""1340311""",83,74,157
"Stafford School District","=""1340011""","West Stafford School","=""1340411""",74,87,161
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""",69,81,150
"Stamford Charter School for Excellence District","=""2960013""","Stamford Charter School for Excellence","=""2960113""",74,90,164
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""",31,48,79
"Stamford School District","=""1350011""","Apples PreK","=""1350111""",49,91,140
