"Student Counts by School and Year"
"All Districts, All Schools"
"2015-16"

"District","District Code","School","School Code","Count"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",489
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",469
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1131
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",61
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",270
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",27
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1517
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1196
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",393
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",852
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",397
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",698
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",416
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",270
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",794
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",240
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",315
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1060
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",408
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",351
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",492
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",506
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",649
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",836
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",512
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",460
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",7
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",483
"Bridgeport School District","=""0150011""","Read School","=""0152511""",891
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",623
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",224
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",503
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",673
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",20
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1167
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",63
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1221
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",48
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",704
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",12
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",12
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",340
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",451
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",927
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",6
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",395
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",372
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""",8
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",422
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",10
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",491
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",24
"Bristol School District","=""0170011""","Stafford School","=""0171211""",436
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",922
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",880
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",368
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",577
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",855
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",521
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",377
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",76
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",261
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",230
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",488
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",400
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",284
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",451
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",249
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",702
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",343
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",517
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",354
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",405
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",451
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",440
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",337
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",467
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",12
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",726
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",354
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",468
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",455
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",455
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",66
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",140
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",42
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",7
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",399
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",654
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",457
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",176
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",344
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1481
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",10
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",147
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",719
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",480
"Cheshire School District","=""0250011""","Highland School","=""0250411""",751
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",18
"Cheshire School District","=""0250011""","Norton School","=""0250511""",445
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",211
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",312
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",452
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",522
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",533
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",835
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",15
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",570
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",531
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",600
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",84
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",445
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",186
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",768
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",784
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",636
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",551
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",505
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",573
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",760
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",623
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",653
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",250
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",657
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",657
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",811
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",588
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",496
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",57
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",17
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",90
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",468
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",150
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",92
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",397
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",12
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",348
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",465
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",365
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""",38
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",578
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",447
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",480
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",94
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1039
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",141
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2941
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",432
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",354
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",470
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",369
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",409
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",350
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",357
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",595
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",368
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",938
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",520
"Danbury School District","=""0340011""","South Street School","=""0341011""",378
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",496
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",390
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",496
"Darien School District","=""0350011""","Darien High School","=""0356111""",1356
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",501
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",462
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1167
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",433
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",479
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",304
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",347
"Derby School District","=""0370011""","Derby High School","=""0376111""",344
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",332
"Derby School District","=""0370011""","Irving School","=""0370411""",328
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",33
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",206
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",264
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",196
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",202
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",309
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",321
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",431
"East Hampton School District","=""0420011""","Center School","=""0420311""",297
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",515
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",433
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",637
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",312
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",192
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",356
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",322
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",509
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1649
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1074
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",344
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",336
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",475
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",274
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",110
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",204
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",182
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",264
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",207
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",308
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",889
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",172
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",589
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",186
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",166
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",19
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1045
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",848
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",343
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",58
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",290
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",168
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",381
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",324
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",388
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",129
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",117
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",179
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",134
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",309
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",213
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",14
"Ellington School District","=""0480011""","Center School","=""0480111""",361
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",201
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",771
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",420
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",446
"Ellington School District","=""0480011""","Windermere School","=""0480611""",430
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-5","=""0480311""","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",703
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",113
"Enfield School District","=""0490011""","EPS PK STEAM Academy","=""0491011""",36
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",323
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",411
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",715
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""",8
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",276
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",6
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",861
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",344
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",364
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1065
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",222
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",412
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",417
"Explorations District","=""2720013""","Explorations","=""2726113""",92
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",418
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",335
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",112
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1508
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1518
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",886
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",405
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",320
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",426
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",382
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",415
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",489
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",408
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",802
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",479
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",440
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",685
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",26
"Farmington School District","=""0520011""","East Farms School","=""0520411""",443
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",12
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",123
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1220
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",623
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",363
"Farmington School District","=""0520011""","Union School","=""0520111""",322
"Farmington School District","=""0520011""","West District School","=""0520311""",300
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",663
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",167
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",459
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",256
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",479
