"school_code","year","start_time","end_time"
"0170311","201516","09:05 AM","03:25 PM"
"0170411","201415","",""
"0170411","201516","09:05 AM","03:25 PM"
"0170511","201314","08:15 AM","02:50 PM"
"0170511","201415","09:05 AM","03:25 PM"
"0170511","201516","08:15 AM","02:50 PM"
"0171111","201314","09:05 AM","03:25 PM"
"0171111","201415","09:05 AM","03:25 PM"
"0171111","201516","09:05 AM","03:25 PM"
"0171211","201314","09:05 AM","03:25 PM"
"0171211","201415","09:05 AM","03:25 PM"
"0171211","201516","09:05 AM","03:25 PM"
"0171411","201314","09:05 AM","03:25 PM"
"0171411","201415","09:05 AM","03:25 PM"
"0171411","201516","09:05 AM","03:25 PM"
"0171711","201314","09:05 AM","03:25 PM"
"0171711","201415","09:05 AM","03:25 PM"
"0171711","201516","09:05 AM","03:25 PM"
"0171911","201314","09:05 AM","03:25 PM"
"0171911","201415","09:05 AM","03:25 PM"
"0171911","201516","09:05 AM","03:25 PM"
"0172011","201314","08:15 AM","02:50 PM"
"0172011","201415","08:15 AM","02:50 PM"
"0172011","201516","08:15 AM","02:50 PM"
"0175111","201314","08:15 AM","02:50 PM"
"0175111","201415","08:15 AM","02:50 PM"
"0175111","201516","08:15 AM","02:50 PM"
"0175211","201314","08:15 AM","02:50 PM"
"0175211","201415","08:15 AM","02:50 PM"
"0175211","201516","08:15 AM","02:25 PM"
"0176111","201314","07:35 AM","02:00 PM"
"0176111","201415","07:35 AM","02:00 PM"
"0176111","201516","07:35 AM","02:00 PM"
"0176211","201314","07:35 AM","02:00 PM"
"0176211","201415","07:35 AM","02:00 PM"
"0176211","201516","07:35 AM","02:00 PM"
"0180311","201314","08:40 AM","03:25 PM"
"0180311","201415","08:40 AM","03:25 PM"
"0180311","201516","08:40 AM","03:25 PM"
"0180411","201314","08:40 AM","03:25 PM"
"0180411","201415","08:40 AM","03:25 PM"
"0180411","201516","08:40 AM","03:25 PM"
"0185311","201314","07:55 AM","02:40 PM"
"0185311","201415","07:55 AM","02:40 PM"
"0185311","201516","07:55 AM","02:40 PM"
"0186111","201314","07:15 AM","02:00 PM"
"0186111","201415","07:15 AM","02:00 PM"
"0186111","201516","07:15 AM","02:00 PM"
"0190111","201314","08:45 AM","03:15 PM"
"0190111","201415","08:45 AM","03:15 PM"
"0190111","201516","08:45 AM","03:15 PM"
"0195111","201314","08:00 AM","02:32 PM"
"0195111","201415","08:00 AM","02:30 PM"
"0195111","201516","08:00 AM","02:30 PM"
"0210111","201314","08:45 AM","03:10 PM"
"0210111","201415","08:45 AM","03:10 PM"
"0210111","201516","08:45 AM","03:10 PM"
"0220211","201314","08:30 AM","03:02 PM"
"0220211","201415","08:30 AM","03:02 PM"
"0220211","201516","08:30 AM","03:10 PM"
"0225111","201314","08:20 AM","03:05 PM"
"0225111","201415","08:30 AM","03:00 PM"
"0225111","201516","08:20 AM","03:15 PM"
"0230211","201314","08:35 AM","03:20 PM"
"0230211","201415","08:35 AM","03:20 PM"
"0230211","201516","08:35 AM","03:20 PM"
"0230311","201314","08:05 AM","02:45 PM"
"0230311","201415","08:05 AM","02:45 PM"
"0230311","201516","07:55 AM","02:45 PM"
"0235111","201314","07:34 AM","02:20 PM"
"0235111","201415","07:34 AM","02:20 PM"
"0235111","201516","07:34 AM","02:20 PM"
"0236111","201314","07:35 AM","02:20 PM"
"0236111","201415","07:35 AM","02:20 PM"
"0236111","201516","07:35 AM","02:20 PM"
"0240211","201314","08:40 AM","03:15 PM"
"0240211","201415","08:30 AM","03:15 PM"
"0240211","201516","08:40 AM","03:15 PM"
"0250111","201314","08:05 AM","02:35 PM"
"0250111","201415","08:05 AM","02:35 PM"
"0250111","201516","08:05 AM","02:35 PM"
"0250211","201314","08:55 AM","11:36 AM"
"0250211","201415","08:50 AM","03:20 PM"
"0250211","201516","08:50 AM","03:20 PM"
"0250411","201314","08:50 AM","03:20 PM"
"0250411","201415","08:50 AM","03:20 PM"
"0250411","201516","08:50 AM","03:20 PM"
"0250511","201314","08:50 AM","03:20 PM"
"0250511","201415","08:50 AM","03:20 PM"
"0250511","201516","08:50 AM","03:20 PM"
"0250611","201314","08:05 AM","02:35 PM"
"0250611","201415","09:05 AM","02:35 PM"
"0250611","201516","08:05 AM","02:35 PM"
"0255111","201314","08:08 AM","02:44 PM"
"0255111","201415","08:08 AM","02:45 PM"
"0255111","201516","08:08 AM","02:45 PM"
"0256111","201314","07:30 AM","02:00 PM"
"0256111","201415","07:30 AM","02:00 PM"
"0256111","201516","07:30 AM","02:00 PM"
"0260111","201314","08:25 AM","03:00 PM"
"0260111","201415","08:25 AM","03:00 PM"
"0260111","201516","08:25 AM","03:00 PM"
"0270111","201314","07:56 AM","02:37 PM"
"0270111","201415","07:56 AM","02:37 PM"
"0270111","201516","07:56 AM","02:37 PM"
"0270311","201314","08:46 AM","03:15 PM"
"0270311","201415","08:46 AM","03:15 PM"
"0270311","201516","08:46 AM","03:15 PM"
"0275111","201314","07:50 AM","02:31 PM"
"0275111","201415","07:50 AM","02:31 PM"
"0275111","201516","07:50 AM","02:31 PM"
"0276111","201314","07:35 AM","02:10 PM"
"0276111","201415","07:35 AM","02:10 PM"
"0276111","201516","07:35 AM","02:10 PM"
"0280211","201314","08:35 AM","03:15 PM"
"0280211","201415","08:35 AM","03:15 PM"
"0280211","201516","08:35 AM","03:15 PM"
"0280411","201314","08:35 AM","03:15 PM"
"0280411","201415","08:35 AM","03:15 PM"
"0280411","201516","08:35 AM","03:15 PM"
"0285111","201314","07:20 AM","02:00 PM"
"0285111","201415","07:20 AM","02:00 PM"
"0285111","201516","07:20 AM","02:00 PM"
"0286111","201314","07:35 AM","02:15 PM"
"0286111","201415","07:35 AM","02:15 PM"
"0286111","201516","07:35 AM","02:15 PM"
"0290111","201314","08:30 AM","03:15 PM"
"0290111","201415","08:30 AM","03:15 PM"
"0290111","201516","08:30 AM","03:15 PM"
"0300111","201314","08:15 AM","03:15 PM"
"0300111","201415","08:15 AM","03:10 PM"
"0300111","201516","08:15 AM","03:10 PM"
"0310111","201314","08:25 AM","02:55 PM"
"0310111","201415","08:25 AM","02:55 PM"
"0310111","201516","08:25 AM","02:55 PM"
"0320211","201314","08:30 AM","03:10 PM"
"0320211","201415","08:30 AM","03:10 PM"
"0320211","201516","08:30 AM","03:10 PM"
"0320411","201314","08:30 AM","03:10 PM"
"0320411","201415","08:30 AM","03:10 PM"
"0320411","201516","08:30 AM","03:10 PM"
"0325111","201314","07:40 AM","02:20 PM"
"0325111","201415","07:40 AM","02:20 PM"
"0325111","201516","07:40 AM","02:20 PM"
"0326111","201314","07:40 AM","02:20 PM"
"0326111","201415","07:40 AM","02:20 PM"
"0326111","201516","07:40 AM","02:20 PM"
"0330211","201314","08:40 AM","03:20 PM"
"0330211","201415","08:40 AM","03:20 PM"
"0330211","201516","08:40 AM","03:20 PM"
"0330311","201314","08:40 AM","03:20 PM"
"0330311","201415","08:40 AM","03:20 PM"
"0330311","201516","08:40 AM","03:20 PM"
"0335111","201314","07:45 AM","02:25 PM"
"0335111","201415","07:45 AM","02:25 PM"
"0335111","201516","07:45 AM","02:25 PM"
"0336111","201314","07:45 AM","02:25 PM"
"0336111","201415","07:45 AM","02:25 PM"
"0336111","201516","07:45 AM","02:25 PM"
"0340111","201314","",""
"0340111","201415","",""
"0340111","201516","",""
"0340211","201314","08:25 AM","02:55 PM"
"0340211","201415","08:25 AM","03:00 PM"
"0340211","201516","08:25 AM","03:00 PM"
"0340311","201415","07:40 AM","02:25 PM"
"0340311","201516","07:40 AM","02:25 PM"
"0340511","201314","08:55 AM","03:25 PM"
"0340511","201415","08:25 AM","03:00 PM"
"0340511","201516","08:25 AM","03:00 PM"
"0340611","201314","08:25 AM","02:55 PM"
"0340611","201415","08:25 AM","03:00 PM"
"0340611","201516","08:25 AM","03:00 PM"
"0340811","201314","08:55 AM","03:25 PM"
"0340811","201415","08:55 AM","03:30 PM"
"0340811","201516","08:55 AM","03:30 PM"
"0341011","201314","08:55 AM","03:30 PM"
"0341011","201415","08:55 AM","03:30 PM"
"0341011","201516","08:55 AM","03:30 PM"
"0341111","201314","08:55 AM","03:30 PM"
"0341111","201415","08:55 AM","03:30 PM"
"0341111","201516","08:55 AM","03:30 PM"
"0341211","201314","08:55 AM","03:25 PM"
"0341211","201415","08:25 AM","03:00 PM"
"0341211","201516","08:25 AM","03:00 PM"
"0341311","201314","08:25 AM","03:00 PM"
"0341311","201415","08:25 AM","03:00 PM"
"0341311","201516","08:25 AM","03:00 PM"
"0341411","201314","08:30 AM","03:30 PM"
"0341411","201415","08:55 AM","03:30 PM"
"0341411","201516","08:55 AM","03:30 PM"
"0341511","201314","08:55 AM","03:30 PM"
"0341511","201415","08:55 AM","03:30 PM"
"0341511","201516","08:55 AM","03:30 PM"
"0341611","201314","08:25 AM","03:00 PM"
"0341611","201415","08:25 AM","03:00 PM"
"0341611","201516","08:25 AM","03:00 PM"
"0341711","201314","08:25 AM","03:00 PM"
"0341711","201415","08:25 AM","03:00 PM"
"0341711","201516","08:25 AM","03:00 PM"
"0341911","201314","08:55 AM","03:30 PM"
"0341911","201415","08:55 AM","03:30 PM"
"0341911","201516","08:55 AM","03:30 PM"
"0345111","201314","07:50 AM","02:25 PM"
"0345111","201415","07:40 AM","02:25 PM"
"0345111","201516","07:40 AM","02:25 PM"
"0345211","201314","08:00 AM","02:21 PM"
"0345211","201415","07:40 AM","02:25 PM"
"0345211","201516","07:40 AM","02:25 PM"
"0346111","201314","07:20 AM","02:00 PM"
"0346111","201415","07:20 AM","02:00 PM"
"0346111","201516","07:20 AM","02:00 PM"
"0346211","201314","07:30 AM","01:45 PM"
"0346211","201415","07:30 AM","01:45 PM"
"0346211","201516","07:30 AM","01:45 PM"
"0350211","201314","08:25 AM","02:55 PM"
"0350211","201415","08:25 AM","02:55 PM"
"0350211","201516","08:25 AM","02:55 PM"
"0350511","201314","08:25 AM","02:55 PM"
"0350511","201415","08:25 AM","02:55 PM"
"0350511","201516","08:25 AM","02:55 PM"
"0350611","201314","08:25 AM","02:55 PM"
"0350611","201415","08:25 AM","02:55 PM"
"0350611","201516","08:25 AM","02:55 PM"
"0350711","201314","09:00 AM","03:30 PM"
"0350711","201415","09:00 AM","03:30 PM"
"0350711","201516","09:00 AM","03:30 PM"
"0351311","201314","09:00 AM","03:30 PM"
"0351311","201415","09:00 AM","03:30 PM"
"0351311","201516","09:00 AM","03:30 PM"
"0355111","201314","07:55 AM","02:22 PM"
"0355111","201415","07:55 AM","02:22 PM"
"0355111","201516","07:55 AM","02:22 PM"
"0356111","201314","07:40 AM","02:17 PM"
"0356111","201415","07:40 AM","02:17 PM"
"0356111","201516","07:40 AM","02:20 PM"
"0360111","201314","08:25 AM","03:00 PM"
"0360111","201415","08:25 AM","03:00 PM"
"0360111","201516","08:25 AM","03:00 PM"
"0370111","201516","09:00 AM","03:00 PM"
"0370411","201314","09:00 AM","03:25 PM"
"0370411","201415","09:00 AM","03:25 PM"
"0370411","201516","09:00 AM","03:25 PM"
"0370611","201314","08:00 AM","02:25 PM"
"0370611","201415","08:00 AM","02:30 PM"
"0370611","201516","08:00 AM","02:30 PM"
"0375011","201314","08:30 AM","02:55 PM"
"0375011","201415","08:30 AM","02:55 PM"
"0375011","201516","08:30 AM","02:55 PM"
"0376111","201314","07:30 AM","01:55 PM"
"0376111","201415","07:30 AM","01:55 PM"
"0376111","201516","07:30 AM","01:55 PM"
"0390111","201314","08:15 AM","03:15 PM"
"0390111","201415","08:15 AM","03:15 PM"
"0390111","201516","08:15 AM","03:15 PM"
"0400111","201314","08:35 AM","03:05 PM"
"0400111","201415","08:35 AM","03:05 PM"
"0400111","201516","08:35 AM","03:05 PM"
"0400211","201314","08:30 AM","03:00 PM"
"0400211","201415","08:30 AM","03:00 PM"
"0400211","201516","08:30 AM","03:00 PM"
"0405111","201314","07:40 AM","02:10 PM"
"0405111","201415","07:40 AM","02:10 PM"
"0405111","201516","07:40 AM","02:10 PM"
"0406111","201314","07:40 AM","02:10 PM"
"0406111","201415","07:40 AM","02:10 PM"
"0406111","201516","07:40 AM","02:10 PM"
"0410111","201314","08:45 AM","03:25 PM"
"0410111","201415","08:45 AM","03:25 PM"
"0410111","201516","08:45 AM","03:25 PM"
"0415111","201314","07:40 AM","02:10 PM"
"0415111","201415","07:40 AM","02:10 PM"
"0415111","201516","07:40 AM","02:10 PM"
"0416111","201314","07:30 AM","02:00 PM"
"0416111","201415","07:30 AM","02:00 PM"
"0416111","201516","07:30 AM","02:00 PM"
"0420111","201314","08:40 AM","03:10 PM"
"0420111","201415","08:40 AM","03:10 PM"
"0420111","201516","08:40 AM","03:10 PM"
"0420311","201314","08:40 AM","03:10 PM"
"0420311","201415","08:40 AM","03:10 PM"
"0420311","201516","08:40 AM","03:10 PM"
"0425111","201314","07:45 AM","02:35 PM"
"0425111","201415","07:45 AM","02:35 PM"
"0425111","201516","07:45 AM","02:35 PM"
"0426111","201314","07:35 AM","02:15 PM"
"0426111","201415","07:35 AM","02:15 PM"
"0426111","201516","07:35 AM","02:15 PM"
"0430411","201314","07:55 AM","02:45 PM"
"0430411","201415","07:55 AM","02:45 PM"
"0430411","201516","08:10 AM","02:45 PM"
"0430511","201314","08:45 AM","03:20 PM"
"0430511","201415","08:45 AM","03:20 PM"
"0430511","201516","08:45 AM","03:20 PM"
"0430611","201314","08:45 AM","03:20 PM"
"0430611","201415","08:45 AM","03:20 PM"
"0430611","201516","08:45 AM","03:20 PM"
"0430911","201314","08:45 AM","03:20 PM"
"0430911","201415","08:45 AM","03:20 PM"
"0430911","201516","08:45 AM","03:20 PM"
"0431011","201314","08:00 AM","04:25 PM"
"0431011","201415","08:00 AM","04:25 PM"
"0431011","201516","08:00 AM","04:25 PM"
"0431211","201314","08:45 AM","03:20 PM"
"0431211","201415","08:45 AM","03:20 PM"
"0431211","201516","08:45 AM","03:20 PM"
"0431811","201314","08:45 AM","03:20 PM"
"0431811","201415","08:45 AM","03:20 PM"
"0431811","201516","08:45 AM","03:20 PM"
"0432011","201314","08:45 AM","03:20 PM"
"0432011","201415","08:30 AM","03:20 PM"
"0432011","201516","08:30 AM","03:20 PM"
"0432211","201314","08:45 AM","03:20 PM"
"0432211","201415","08:45 AM","03:20 PM"
"0432211","201516","08:45 AM","03:20 PM"
"0432411","201314","08:15 AM","04:00 PM"
"0432411","201415","08:10 AM","02:45 PM"
"0432411","201516","08:00 AM","02:45 PM"
"0435111","201314","08:00 AM","02:45 PM"
"0435111","201415","08:00 AM","02:45 PM"
"0435111","201516","08:00 AM","02:45 PM"
"0436211","201314","07:30 AM","02:10 PM"
"0436211","201415","07:30 AM","02:10 PM"
"0436211","201516","07:30 AM","02:10 PM"
"0436311","201314","07:30 AM","03:00 PM"
"0436311","201415","07:30 AM","03:00 PM"
"0436311","201516","07:30 AM","03:00 PM"
"0436411","201314","07:40 AM","02:00 PM"
"0436411","201415","07:30 AM","01:30 PM"
"0436411","201516","07:30 AM","01:30 PM"
"0440111","201314","09:15 AM","03:30 PM"
"0440111","201415","09:15 AM","03:30 PM"
"0440111","201516","09:15 AM","03:30 PM"
"0440711","201314","08:45 AM","03:00 PM"
"0440711","201415","08:45 AM","03:00 PM"
"0440711","201516","08:45 AM","03:00 PM"
"0441011","201314","08:45 AM","03:30 PM"
"0441011","201415","08:45 AM","02:45 PM"
"0441011","201516","08:45 AM","02:45 PM"
"0441311","201314","08:45 AM","03:00 PM"
"0441311","201415","08:45 AM","03:00 PM"
"0441311","201516","08:45 AM","03:00 PM"
"0441711","201314","08:10 AM","02:30 PM"
"0441711","201415","08:10 AM","02:20 PM"
"0441711","201516","08:10 AM","02:30 PM"
"0441811","201314","09:15 AM","03:30 PM"
"0441811","201415","09:15 AM","03:30 PM"
"0441811","201516","09:15 AM","03:30 PM"
"0445111","201314","08:00 AM","02:20 PM"
"0445111","201415","08:10 AM","02:20 PM"
"0445111","201516","08:00 AM","02:20 PM"
"0446111","201314","07:25 AM","01:50 PM"
"0446111","201415","07:25 AM","01:50 PM"
"0446111","201516","07:25 AM","01:50 PM"
"0450111","201314","09:15 AM","03:30 PM"
"0450111","201415","09:15 AM","03:30 PM"
"0450111","201516","09:05 AM","03:35 PM"
"0450211","201314","09:15 AM","03:30 PM"
"0450211","201415","09:15 AM","03:30 PM"
"0450211","201516","09:05 AM","03:35 PM"
"0450411","201314","09:15 AM","03:30 PM"
"0450411","201415","09:15 AM","03:30 PM"
"0450411","201516","09:05 AM","03:35 PM"
"0455111","201314","08:30 AM","02:45 PM"
"0455111","201415","08:30 AM","02:45 PM"
"0455111","201516","08:30 AM","02:45 PM"
"0456111","201314","07:30 AM","02:10 PM"
"0456111","201415","07:30 AM","02:10 PM"
"0456111","201516","07:30 AM","02:10 PM"
"0460111","201314","09:00 AM","03:30 PM"
"0460111","201415","09:00 AM","03:30 PM"
"0460111","201516","08:55 AM","03:40 PM"
"0465111","201314","08:10 AM","02:40 PM"
"0465111","201415","08:10 AM","02:40 PM"
"0465111","201516","08:05 AM","02:50 PM"
"0470111","201314","09:05 AM","03:40 PM"
"0470111","201415","09:05 AM","03:40 PM"
"0470111","201516","09:05 AM","03:40 PM"
"0475411","201314","08:11 AM","02:43 PM"
"0475411","201415","08:10 AM","02:45 PM"
"0475411","201516","08:04 AM","02:44 PM"
"0476111","201314","07:30 AM","02:05 PM"
"0476111","201415","07:30 AM","02:05 PM"
"0476111","201516","07:30 AM","02:05 PM"
"0480111","201314","08:50 AM","03:30 PM"
